timestamp,timestamp,apiserver_latency_95th,layer,unit,treatment
2026-01-20 21:49:47.503000020+00:00,1768945787.503,0.034440298507463246,cluster,seconds,NoTreatment
2026-01-20 21:50:17.503000020+00:00,1768945817.503,0.025038461538461804,cluster,seconds,Treatment
2026-01-20 21:50:47.503000020+00:00,1768945847.503,0.024648111332007953,cluster,seconds,Treatment
2026-01-20 21:51:17.503000020+00:00,1768945877.503,0.024856258596973855,cluster,seconds,Treatment
2026-01-20 21:51:47.503000020+00:00,1768945907.503,0.02688492063492048,cluster,seconds,Treatment
2026-01-20 21:52:17.503000020+00:00,1768945937.503,0.05226973684210501,cluster,seconds,NoTreatment
