timestamp,pod,timestamp,pod_network_transmit_bytes,layer,unit,treatment
2026-01-20 21:58:39.901999950+00:00,data-preprocess-57fb77c468-kk6nk,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,data-preprocess-57fb77c468-kk6nk,1768946349.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,data-preprocess-57fb77c468-kk6nk,1768946379.902,17.753474815118157,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,data-preprocess-57fb77c468-kk6nk,1768946409.902,13.913635362655402,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,data-quality-6df8969f99-qgvdv,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,data-quality-6df8969f99-qgvdv,1768946349.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,data-quality-6df8969f99-qgvdv,1768946379.902,57.52819717133139,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,data-quality-6df8969f99-qgvdv,1768946409.902,22.873928537031688,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,generate-address-7f49698cc6-lbcgn,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,generate-address-7f49698cc6-lbcgn,1768946349.902,17.87819674591095,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,generate-address-7f49698cc6-lbcgn,1768946379.902,35.31107374489551,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,generate-address-7f49698cc6-lbcgn,1768946409.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,generate-birthday-6744559788-hh27v,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,generate-birthday-6744559788-hh27v,1768946349.902,31.588394825668743,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,generate-birthday-6744559788-hh27v,1768946379.902,42.03884503531367,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,generate-birthday-6744559788-hh27v,1768946409.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,generate-id-6848b7d6f5-5gn58,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,generate-id-6848b7d6f5-5gn58,1768946349.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,generate-id-6848b7d6f5-5gn58,1768946379.902,52.10974579026072,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,generate-id-6848b7d6f5-5gn58,1768946409.902,15.51441481066816,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,generate-name-d78ffc68f-qv4lm,1768946319.902,1.5319633204210712,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,generate-name-d78ffc68f-qv4lm,1768946349.902,36.31228155734374,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,generate-name-d78ffc68f-qv4lm,1768946379.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,generate-name-d78ffc68f-qv4lm,1768946409.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,load-data-8fb4988b7-w25kt,1768946319.902,2.293052052281587,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,load-data-8fb4988b7-w25kt,1768946349.902,78.56688910073085,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,load-data-8fb4988b7-w25kt,1768946379.902,58.141129901432464,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,load-data-8fb4988b7-w25kt,1768946409.902,0.0,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946349.902,14.309652365880257,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946379.902,103.5455098934551,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946409.902,44.03899792727552,pod,bytes_per_second,Treatment
2026-01-20 21:58:39.901999950+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946319.902,0.0,pod,bytes_per_second,NoTreatment
2026-01-20 21:59:09.901999950+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946349.902,20.5375705279521,pod,bytes_per_second,Treatment
2026-01-20 21:59:39.901999950+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946379.902,43.89497833290849,pod,bytes_per_second,Treatment
2026-01-20 22:00:09.901999950+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946409.902,38.60132551013136,pod,bytes_per_second,Treatment
