timestamp,timestamp,kepler_node_cpu_power_sum,layer,unit,treatment
2026-01-20 09:06:55.010999918+00:00,1768900015.011,41.1261176545454,node,watts,NoTreatment
2026-01-20 09:07:25.010999918+00:00,1768900045.011,50.66575936363667,node,watts,Treatment
2026-01-20 09:07:55.010999918+00:00,1768900075.011,92.84145769090877,node,watts,Treatment
2026-01-20 09:08:25.010999918+00:00,1768900105.011,95.07152710909156,node,watts,Treatment
2026-01-20 09:08:55.010999918+00:00,1768900135.011,72.32136810909113,node,watts,Treatment
2026-01-20 09:09:25.010999918+00:00,1768900165.011,97.93878536363626,node,watts,Treatment
2026-01-20 09:09:55.010999918+00:00,1768900195.011,137.03573490909073,node,watts,Treatment
2026-01-20 09:10:25.010999918+00:00,1768900225.011,114.77508020000008,node,watts,Treatment
2026-01-20 09:10:55.010999918+00:00,1768900255.011,76.78128472727327,node,watts,Treatment
2026-01-20 09:11:25.010999918+00:00,1768900285.011,68.36698525454564,node,watts,Treatment
2026-01-20 09:11:55.010999918+00:00,1768900315.011,57.40158819999997,node,watts,Treatment
