timestamp,timestamp,apiserver_latency_95th,layer,unit,treatment
2026-01-19 09:26:33.338999987+00:00,1768814793.339,60.0,cluster,seconds,Treatment
2026-01-19 09:27:03.338999987+00:00,1768814823.339,60.0,cluster,seconds,Treatment
2026-01-19 09:27:33.338999987+00:00,1768814853.339,60.0,cluster,seconds,Treatment
2026-01-19 09:28:03.338999987+00:00,1768814883.339,60.0,cluster,seconds,Treatment
2026-01-19 09:28:33.338999987+00:00,1768814913.339,60.0,cluster,seconds,Treatment
2026-01-19 09:29:03.338999987+00:00,1768814943.339,60.0,cluster,seconds,Treatment
2026-01-19 09:29:33.338999987+00:00,1768814973.339,60.0,cluster,seconds,Treatment
2026-01-19 09:30:03.338999987+00:00,1768815003.339,60.0,cluster,seconds,Treatment
2026-01-19 09:30:33.338999987+00:00,1768815033.339,60.0,cluster,seconds,Treatment
2026-01-19 09:31:03.338999987+00:00,1768815063.339,60.0,cluster,seconds,Treatment
2026-01-19 09:31:33.338999987+00:00,1768815093.339,60.0,cluster,seconds,Treatment
2026-01-19 09:32:03.338999987+00:00,1768815123.339,60.0,cluster,seconds,Treatment
2026-01-19 09:32:33.338999987+00:00,1768815153.339,60.0,cluster,seconds,Treatment
2026-01-19 09:33:03.338999987+00:00,1768815183.339,60.0,cluster,seconds,Treatment
2026-01-19 09:33:33.338999987+00:00,1768815213.339,60.0,cluster,seconds,Treatment
2026-01-19 09:34:03.338999987+00:00,1768815243.339,60.0,cluster,seconds,Treatment
2026-01-19 09:34:33.338999987+00:00,1768815273.339,60.0,cluster,seconds,Treatment
2026-01-19 09:35:03.338999987+00:00,1768815303.339,60.0,cluster,seconds,Treatment
2026-01-19 09:35:33.338999987+00:00,1768815333.339,60.0,cluster,seconds,Treatment
2026-01-19 09:36:03.338999987+00:00,1768815363.339,60.0,cluster,seconds,Treatment
2026-01-19 09:36:33.338999987+00:00,1768815393.339,60.0,cluster,seconds,Treatment
2026-01-19 09:37:03.338999987+00:00,1768815423.339,60.0,cluster,seconds,Treatment
2026-01-19 09:37:33.338999987+00:00,1768815453.339,60.0,cluster,seconds,Treatment
2026-01-19 09:38:03.338999987+00:00,1768815483.339,60.0,cluster,seconds,Treatment
2026-01-19 09:38:33.338999987+00:00,1768815513.339,60.0,cluster,seconds,Treatment
2026-01-19 09:39:03.338999987+00:00,1768815543.339,60.0,cluster,seconds,Treatment
2026-01-19 09:39:33.338999987+00:00,1768815573.339,60.0,cluster,seconds,Treatment
2026-01-19 09:40:03.338999987+00:00,1768815603.339,60.0,cluster,seconds,Treatment
2026-01-19 09:40:33.338999987+00:00,1768815633.339,60.0,cluster,seconds,Treatment
2026-01-19 09:41:03.338999987+00:00,1768815663.339,60.0,cluster,seconds,Treatment
2026-01-19 09:41:33.338999987+00:00,1768815693.339,60.0,cluster,seconds,Treatment
2026-01-19 09:42:03.338999987+00:00,1768815723.339,60.0,cluster,seconds,Treatment
2026-01-19 09:42:33.338999987+00:00,1768815753.339,60.0,cluster,seconds,Treatment
2026-01-19 09:43:03.338999987+00:00,1768815783.339,60.0,cluster,seconds,Treatment
2026-01-19 09:43:33.338999987+00:00,1768815813.339,60.0,cluster,seconds,Treatment
2026-01-19 09:44:03.338999987+00:00,1768815843.339,5.9801282051282,cluster,seconds,Treatment
2026-01-19 09:44:33.338999987+00:00,1768815873.339,60.0,cluster,seconds,Treatment
2026-01-19 09:45:03.338999987+00:00,1768815903.339,60.0,cluster,seconds,Treatment
2026-01-19 09:45:33.338999987+00:00,1768815933.339,60.0,cluster,seconds,Treatment
2026-01-19 09:46:03.338999987+00:00,1768815963.339,60.0,cluster,seconds,Treatment
2026-01-19 09:46:33.338999987+00:00,1768815993.339,60.0,cluster,seconds,Treatment
2026-01-19 09:47:03.338999987+00:00,1768816023.339,60.0,cluster,seconds,Treatment
2026-01-19 09:47:33.338999987+00:00,1768816053.339,60.0,cluster,seconds,Treatment
2026-01-19 09:48:03.338999987+00:00,1768816083.339,60.0,cluster,seconds,Treatment
2026-01-19 09:48:33.338999987+00:00,1768816113.339,60.0,cluster,seconds,Treatment
2026-01-19 09:49:03.338999987+00:00,1768816143.339,60.0,cluster,seconds,Treatment
