timestamp,container_name,timestamp,kepler_container_power_watts,layer,unit,treatment
2026-01-20 15:34:38.561000109+00:00,init,1768923278.561,0.0,pod,watts,NoTreatment
2026-01-20 15:35:08.561000109+00:00,init,1768923308.561,0.23008831666666668,pod,watts,Treatment
2026-01-20 15:35:38.561000109+00:00,init,1768923338.561,0.1961294388888889,pod,watts,Treatment
2026-01-20 15:36:08.561000109+00:00,init,1768923368.561,0.0,pod,watts,Treatment
2026-01-20 15:36:38.561000109+00:00,init,1768923398.561,0.0,pod,watts,Treatment
2026-01-20 15:37:08.561000109+00:00,init,1768923428.561,0.0,pod,watts,Treatment
2026-01-20 15:34:38.561000109+00:00,main,1768923278.561,0.0,pod,watts,NoTreatment
2026-01-20 15:35:08.561000109+00:00,main,1768923308.561,2.2828739749999998,pod,watts,Treatment
2026-01-20 15:35:38.561000109+00:00,main,1768923338.561,21.36230654851191,pod,watts,Treatment
2026-01-20 15:36:08.561000109+00:00,main,1768923368.561,31.571061845032467,pod,watts,Treatment
2026-01-20 15:36:38.561000109+00:00,main,1768923398.561,26.041691190492426,pod,watts,Treatment
2026-01-20 15:37:08.561000109+00:00,main,1768923428.561,14.832534853888887,pod,watts,Treatment
2026-01-20 15:34:38.561000109+00:00,wait,1768923278.561,0.0,pod,watts,NoTreatment
2026-01-20 15:35:08.561000109+00:00,wait,1768923308.561,0.137206725,pod,watts,Treatment
2026-01-20 15:35:38.561000109+00:00,wait,1768923338.561,0.13896514851190472,pod,watts,Treatment
2026-01-20 15:36:08.561000109+00:00,wait,1768923368.561,0.050965671428571405,pod,watts,Treatment
2026-01-20 15:36:38.561000109+00:00,wait,1768923398.561,0.037326029469696966,pod,watts,Treatment
2026-01-20 15:37:08.561000109+00:00,wait,1768923428.561,0.01852776111111113,pod,watts,Treatment
