timestamp,container_name,timestamp,kepler_container_energy_joules,layer,unit,treatment
2026-01-20 15:34:38.561000109+00:00,init,1768923278.561,0.0,pod,joules,NoTreatment
2026-01-20 15:35:08.561000109+00:00,init,1768923308.561,13.805299,pod,joules,Treatment
2026-01-20 15:35:38.561000109+00:00,init,1768923338.561,11.767766333333334,pod,joules,Treatment
2026-01-20 15:36:08.561000109+00:00,init,1768923368.561,0.0,pod,joules,Treatment
2026-01-20 15:36:38.561000109+00:00,init,1768923398.561,0.0,pod,joules,Treatment
2026-01-20 15:37:08.561000109+00:00,init,1768923428.561,0.0,pod,joules,Treatment
2026-01-20 15:34:38.561000109+00:00,main,1768923278.561,0.0,pod,joules,NoTreatment
2026-01-20 15:35:08.561000109+00:00,main,1768923308.561,136.9724385,pod,joules,Treatment
2026-01-20 15:35:38.561000109+00:00,main,1768923338.561,1281.738392910714,pod,joules,Treatment
2026-01-20 15:36:08.561000109+00:00,main,1768923368.561,1894.263710701948,pod,joules,Treatment
2026-01-20 15:36:38.561000109+00:00,main,1768923398.561,1562.5014714295453,pod,joules,Treatment
2026-01-20 15:37:08.561000109+00:00,main,1768923428.561,889.9520912333334,pod,joules,Treatment
2026-01-20 15:34:38.561000109+00:00,wait,1768923278.561,0.0,pod,joules,NoTreatment
2026-01-20 15:35:08.561000109+00:00,wait,1768923308.561,8.2324035,pod,joules,Treatment
2026-01-20 15:35:38.561000109+00:00,wait,1768923338.561,8.337908910714285,pod,joules,Treatment
2026-01-20 15:36:08.561000109+00:00,wait,1768923368.561,3.0579402857142832,pod,joules,Treatment
2026-01-20 15:36:38.561000109+00:00,wait,1768923398.561,2.239561768181818,pod,joules,Treatment
2026-01-20 15:37:08.561000109+00:00,wait,1768923428.561,1.1116656666666678,pod,joules,Treatment
