timestamp,__name__,baremetal,beta_kubernetes_io_arch,beta_kubernetes_io_os,container,cpu,env,feature_node_kubernetes_io_cpu_cpuid_AESNI,feature_node_kubernetes_io_cpu_cpuid_AVX,feature_node_kubernetes_io_cpu_cpuid_AVXSLOW,feature_node_kubernetes_io_cpu_cpuid_CMPXCHG8,feature_node_kubernetes_io_cpu_cpuid_FXSR,feature_node_kubernetes_io_cpu_cpuid_FXSROPT,feature_node_kubernetes_io_cpu_cpuid_HYPERVISOR,feature_node_kubernetes_io_cpu_cpuid_LAHF,feature_node_kubernetes_io_cpu_cpuid_OSXSAVE,feature_node_kubernetes_io_cpu_cpuid_SYSCALL,feature_node_kubernetes_io_cpu_cpuid_SYSEE,feature_node_kubernetes_io_cpu_cpuid_X87,feature_node_kubernetes_io_cpu_cpuid_XSAVE,feature_node_kubernetes_io_cpu_cpuid_XSAVEOPT,feature_node_kubernetes_io_cpu_hardware_multithreading,feature_node_kubernetes_io_cpu_model_family,feature_node_kubernetes_io_cpu_model_id,feature_node_kubernetes_io_cpu_model_vendor_id,feature_node_kubernetes_io_kernel_config_NO_HZ_FULL,feature_node_kubernetes_io_kernel_version_full,feature_node_kubernetes_io_kernel_version_major,feature_node_kubernetes_io_kernel_version_minor,feature_node_kubernetes_io_kernel_version_revision,feature_node_kubernetes_io_pci_0300_1af4_present,feature_node_kubernetes_io_pci_1af4_present,feature_node_kubernetes_io_system_os_release_ID,feature_node_kubernetes_io_system_os_release_VERSION_ID,feature_node_kubernetes_io_system_os_release_VERSION_ID_major,id,image,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,name,namespace,network,pod,scaphandre,timestamp,system_cpu_usage,layer,unit,treatment
2026-01-15 14:20:53.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768486853.23,1.686802,pod,cpu_time_seconds,Treatment
2026-01-15 14:21:23.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768486883.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:21:53.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768486913.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:22:23.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768486943.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:22:53.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768486973.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:23:23.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768487003.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:23:53.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768487033.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:24:23.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768487063.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:24:53.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768487093.23,7.561346,pod,cpu_time_seconds,Treatment
2026-01-15 14:25:23.230000019+00:00,container_cpu_usage_seconds_total,false,amd64,linux,main,total,energy,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,6,42,Intel,true,6.1.0-40-amd64,6,1,0,true,true,debian,12,12,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0de46ad7_9066_4483_92f2_164e6dedfbbc.slice/cri-containerd-02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7.scope,docker.io/sepidmas/noreuse_scale-privacy-tracking:latest,ise-knode1,kubernetes-nodes-cadvisor,amd64,ise-knode1,linux,02780d4b846964a58e0741059e980c07bc458c28fa1371638e1522003326cdc7,no-reuse-pipeline,fast,parallel-evaluation-only-s5zx7-privacy-tracking-parallel-evaluation-only-2269083483,off,1768487123.23,7.561346,pod,cpu_time_seconds,Treatment
