timestamp,pod,timestamp,pod_network_receive_bytes,layer,unit,treatment
2026-01-15 14:24:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-data-preprocess-full-data-generation-and-evaluation-4285698346,1768487063.23,83.29341285283253,pod,bytes_per_second,Treatment
2026-01-15 14:24:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-data-preprocess-full-data-generation-and-evaluation-4285698346,1768487093.23,106.11666666666667,pod,bytes_per_second,Treatment
2026-01-15 14:34:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-data-quality-full-data-generation-and-evaluation-823840236,1768487663.23,105.64166666666667,pod,bytes_per_second,Treatment
2026-01-15 14:23:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-address-full-data-generation-and-evaluation-384259033,1768487033.23,128.34165136346584,pod,bytes_per_second,Treatment
2026-01-15 14:22:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-birthday-full-data-generation-and-evaluation-4189541997,1768486973.23,109.62442752974286,pod,bytes_per_second,Treatment
2026-01-15 14:23:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-birthday-full-data-generation-and-evaluation-4189541997,1768487003.23,97.83333333333334,pod,bytes_per_second,Treatment
2026-01-15 14:14:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486463.23,128.84201339915373,pod,bytes_per_second,Treatment
2026-01-15 14:14:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486493.23,99.4785183086621,pod,bytes_per_second,Treatment
2026-01-15 14:15:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486523.23,38.5254774607593,pod,bytes_per_second,Treatment
2026-01-15 14:15:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486553.23,41.186013580373285,pod,bytes_per_second,Treatment
2026-01-15 14:16:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486583.23,38.27012184657628,pod,bytes_per_second,Treatment
2026-01-15 14:16:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486613.23,37.29216638989687,pod,bytes_per_second,Treatment
2026-01-15 14:17:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486643.23,32.56090314913844,pod,bytes_per_second,Treatment
2026-01-15 14:17:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486673.23,32.075196431920965,pod,bytes_per_second,Treatment
2026-01-15 14:18:23.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486703.23,33.53018501442053,pod,bytes_per_second,Treatment
2026-01-15 14:18:53.230000019+00:00,full-data-generation-and-evaluation-sck8f-generate-name-full-data-generation-and-evaluation-4010090854,1768486733.23,45.680118134062795,pod,bytes_per_second,Treatment
