timestamp,timestamp,argo_workflows_queue_adds_sum,layer,unit,treatment
2026-01-15 14:13:53.230000019+00:00,1768486433.23,200,workflow,counts,NoTreatment
2026-01-15 14:14:23.230000019+00:00,1768486463.23,220,workflow,counts,Treatment
2026-01-15 14:14:53.230000019+00:00,1768486493.23,236,workflow,counts,Treatment
2026-01-15 14:15:23.230000019+00:00,1768486523.23,244,workflow,counts,Treatment
2026-01-15 14:15:53.230000019+00:00,1768486553.23,244,workflow,counts,Treatment
2026-01-15 14:16:23.230000019+00:00,1768486583.23,244,workflow,counts,Treatment
2026-01-15 14:16:53.230000019+00:00,1768486613.23,248,workflow,counts,Treatment
2026-01-15 14:17:23.230000019+00:00,1768486643.23,248,workflow,counts,Treatment
2026-01-15 14:17:53.230000019+00:00,1768486673.23,248,workflow,counts,Treatment
2026-01-15 14:18:23.230000019+00:00,1768486703.23,248,workflow,counts,Treatment
2026-01-15 14:18:53.230000019+00:00,1768486733.23,248,workflow,counts,Treatment
2026-01-15 14:19:23.230000019+00:00,1768486763.23,248,workflow,counts,Treatment
2026-01-15 14:19:53.230000019+00:00,1768486793.23,248,workflow,counts,Treatment
2026-01-15 14:20:23.230000019+00:00,1768486823.23,248,workflow,counts,Treatment
2026-01-15 14:20:53.230000019+00:00,1768486853.23,250,workflow,counts,Treatment
2026-01-15 14:21:23.230000019+00:00,1768486883.23,252,workflow,counts,Treatment
2026-01-15 14:22:53.230000019+00:00,1768486973.23,17,workflow,counts,Treatment
2026-01-15 14:23:23.230000019+00:00,1768487003.23,24,workflow,counts,Treatment
2026-01-15 14:23:53.230000019+00:00,1768487033.23,34,workflow,counts,Treatment
2026-01-15 14:24:23.230000019+00:00,1768487063.23,41,workflow,counts,Treatment
2026-01-15 14:24:53.230000019+00:00,1768487093.23,43,workflow,counts,Treatment
2026-01-15 14:25:23.230000019+00:00,1768487123.23,46,workflow,counts,Treatment
2026-01-15 14:25:53.230000019+00:00,1768487153.23,46,workflow,counts,Treatment
2026-01-15 14:26:23.230000019+00:00,1768487183.23,46,workflow,counts,Treatment
2026-01-15 14:26:53.230000019+00:00,1768487213.23,46,workflow,counts,Treatment
2026-01-15 14:27:23.230000019+00:00,1768487243.23,46,workflow,counts,Treatment
2026-01-15 14:27:53.230000019+00:00,1768487273.23,46,workflow,counts,Treatment
2026-01-15 14:28:23.230000019+00:00,1768487303.23,49,workflow,counts,Treatment
2026-01-15 14:28:53.230000019+00:00,1768487333.23,49,workflow,counts,Treatment
2026-01-15 14:29:23.230000019+00:00,1768487363.23,49,workflow,counts,Treatment
2026-01-15 14:29:53.230000019+00:00,1768487393.23,49,workflow,counts,Treatment
2026-01-15 14:30:23.230000019+00:00,1768487423.23,54,workflow,counts,Treatment
2026-01-15 14:30:53.230000019+00:00,1768487453.23,56,workflow,counts,Treatment
2026-01-15 14:31:23.230000019+00:00,1768487483.23,56,workflow,counts,Treatment
2026-01-15 14:31:53.230000019+00:00,1768487513.23,59,workflow,counts,Treatment
2026-01-15 14:32:23.230000019+00:00,1768487543.23,64,workflow,counts,Treatment
2026-01-15 14:32:53.230000019+00:00,1768487573.23,68,workflow,counts,Treatment
2026-01-15 14:33:23.230000019+00:00,1768487603.23,69,workflow,counts,Treatment
2026-01-15 14:33:53.230000019+00:00,1768487633.23,73,workflow,counts,Treatment
2026-01-15 14:34:23.230000019+00:00,1768487663.23,78,workflow,counts,Treatment
2026-01-15 14:34:53.230000019+00:00,1768487693.23,79,workflow,counts,Treatment
2026-01-15 14:35:23.230000019+00:00,1768487723.23,79,workflow,counts,Treatment
2026-01-15 14:35:53.230000019+00:00,1768487753.23,80,workflow,counts,Treatment
2026-01-15 14:36:23.230000019+00:00,1768487783.23,80,workflow,counts,Treatment
2026-01-15 14:36:53.230000019+00:00,1768487813.23,80,workflow,counts,Treatment
2026-01-15 14:37:23.230000019+00:00,1768487843.23,80,workflow,counts,Treatment
2026-01-15 14:37:53.230000019+00:00,1768487873.23,81,workflow,counts,Treatment
