timestamp,pod_name,timestamp,kepler_pod_cpu_power_watts,layer,unit,treatment
2026-01-20 22:04:56.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946726.486,0.0010703272727274247,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946756.486,0.004300781818182063,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,data-preprocess-57fb77c468-kk6nk,1768946786.486,0.0,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946696.486,0.0008120363636363915,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946726.486,0.0008120363636363915,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946756.486,0.0010049818181817505,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,data-quality-6df8969f99-qgvdv,1768946786.486,0.001664799999999935,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946726.486,0.0,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946756.486,0.0032304545454545056,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-address-7f49698cc6-lbcgn,1768946786.486,0.0,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-birthday-6744559788-hh27v,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-birthday-6744559788-hh27v,1768946726.486,0.00897138181818184,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-birthday-6744559788-hh27v,1768946756.486,0.00897138181818184,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-birthday-6744559788-hh27v,1768946786.486,0.000659818181818116,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946726.486,0.014120727272727285,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946756.486,0.024960927272727373,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-id-6848b7d6f5-5gn58,1768946786.486,0.010840200000000088,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946726.486,0.008475690909090854,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946756.486,0.008475690909090854,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,generate-name-d78ffc68f-qv4lm,1768946786.486,0.0,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,load-data-8fb4988b7-w25kt,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,load-data-8fb4988b7-w25kt,1768946726.486,0.0031895454545454614,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,load-data-8fb4988b7-w25kt,1768946756.486,0.0031895454545454614,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,load-data-8fb4988b7-w25kt,1768946786.486,0.0,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946726.486,0.7806758909090907,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946756.486,1.3976979090909092,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,privacy-tracking-6d8c94558d-6tfjc,1768946786.486,0.0012073818181819265,pod,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946696.486,0.0,pod,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946726.486,0.11094876363636336,pod,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946756.486,0.11195374545454537,pod,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,synthetic-generator-5bbc957b49-dhgxd,1768946786.486,0.0016648000000001936,pod,watts,Treatment
