timestamp,timestamp,argo_workflows_workers_busy_sum,layer,unit,treatment
2026-01-20 14:52:00.489000082+00:00,1768920720.489,0,workflow,workers,NoTreatment
2026-01-20 14:52:30.489000082+00:00,1768920750.489,0,workflow,workers,Treatment
2026-01-20 14:53:00.489000082+00:00,1768920780.489,0,workflow,workers,Treatment
2026-01-20 14:53:30.489000082+00:00,1768920810.489,0,workflow,workers,Treatment
