timestamp,container_name,timestamp,kepler_container_energy_joules,layer,unit,treatment
2026-01-20 15:26:50.940999985+00:00,data-preprocess,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-preprocess,1768922840.941,0.0,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,data-preprocess,1768922870.941,0.0,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,data-preprocess,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,data-quality,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-quality,1768922840.941,0.2094545454545534,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,data-quality,1768922870.941,0.4843636363636547,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,data-quality,1768922900.941,0.33381818181819445,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-address,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-address,1768922840.941,0.07854545454545364,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-address,1768922870.941,0.3796363636363625,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-address,1768922900.941,0.30109090909090885,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-birthday,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-birthday,1768922840.941,0.30109090909091274,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-birthday,1768922870.941,0.30109090909091274,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-birthday,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-id-code,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-id-code,1768922840.941,1.6527272727272733,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-id-code,1768922870.941,4.8043636363636395,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-id-code,1768922900.941,3.1516363636363667,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-name,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-name,1768922840.941,0.5694545454545438,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-name,1768922870.941,0.5694545454545438,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-name,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,init,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,init,1768922840.941,0.0,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,init,1768922870.941,0.0,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,init,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,load-data,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,load-data,1768922840.941,0.3043636363636362,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,load-data,1768922870.941,0.3043636363636362,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,load-data,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,main,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,main,1768922840.941,0.0,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,main,1768922870.941,3.029184,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,main,1768922900.941,1.7327823000000004,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,privacy-tracking,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,privacy-tracking,1768922840.941,33.00218181818176,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,privacy-tracking,1768922870.941,210.89127272727265,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,privacy-tracking,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,synthetic-generator,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,synthetic-generator,1768922840.941,16.258909090909086,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,synthetic-generator,1768922870.941,16.258909090909086,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,synthetic-generator,1768922900.941,0.0,pod,joules,Treatment
2026-01-20 15:26:50.940999985+00:00,wait,1768922810.941,0.0,pod,joules,NoTreatment
2026-01-20 15:27:20.940999985+00:00,wait,1768922840.941,0.6042135000000006,pod,joules,Treatment
2026-01-20 15:27:50.940999985+00:00,wait,1768922870.941,4.038807375,pod,joules,Treatment
2026-01-20 15:28:20.940999985+00:00,wait,1768922900.941,2.6065458,pod,joules,Treatment
