timestamp,__name__,instance,job,timestamp,argo_workflows_operation_duration_seconds,layer,unit,treatment
2026-01-20 15:26:50.940999985+00:00,argo_workflows_operation_duration_seconds_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,1768922810.941,877,workflow,seconds,NoTreatment
2026-01-20 15:27:20.940999985+00:00,argo_workflows_operation_duration_seconds_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,1768922840.941,895,workflow,seconds,Treatment
2026-01-20 15:27:50.940999985+00:00,argo_workflows_operation_duration_seconds_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,1768922870.941,911,workflow,seconds,Treatment
2026-01-20 15:28:20.940999985+00:00,argo_workflows_operation_duration_seconds_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,1768922900.941,917,workflow,seconds,Treatment
