timestamp,container_name,timestamp,kepler_container_power_watts,layer,unit,treatment
2026-01-20 15:26:50.940999985+00:00,data-preprocess,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-preprocess,1768922840.941,0.0,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,data-preprocess,1768922870.941,0.0,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,data-preprocess,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,data-quality,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-quality,1768922840.941,0.0034909090909092232,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,data-quality,1768922870.941,0.008072727272727578,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,data-quality,1768922900.941,0.005563636363636574,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-address,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-address,1768922840.941,0.001309090909090894,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-address,1768922870.941,0.006327272727272708,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-address,1768922900.941,0.005018181818181814,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-birthday,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-birthday,1768922840.941,0.005018181818181879,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-birthday,1768922870.941,0.005018181818181879,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-birthday,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-id-code,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-id-code,1768922840.941,0.027545454545454554,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-id-code,1768922870.941,0.08007272727272734,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-id-code,1768922900.941,0.05252727272727278,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-name,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-name,1768922840.941,0.009490909090909062,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-name,1768922870.941,0.009490909090909062,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-name,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,init,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,init,1768922840.941,0.0,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,init,1768922870.941,0.0,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,init,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,load-data,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,load-data,1768922840.941,0.005072727272727271,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,load-data,1768922870.941,0.005072727272727271,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,load-data,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,main,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,main,1768922840.941,0.0,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,main,1768922870.941,0.0504864,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,main,1768922900.941,0.028879705000000006,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,privacy-tracking,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,privacy-tracking,1768922840.941,0.5500363636363628,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,privacy-tracking,1768922870.941,3.5148545454545443,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,privacy-tracking,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,synthetic-generator,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,synthetic-generator,1768922840.941,0.2709818181818181,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,synthetic-generator,1768922870.941,0.2709818181818181,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,synthetic-generator,1768922900.941,0.0,pod,watts,Treatment
2026-01-20 15:26:50.940999985+00:00,wait,1768922810.941,0.0,pod,watts,NoTreatment
2026-01-20 15:27:20.940999985+00:00,wait,1768922840.941,0.010070225000000012,pod,watts,Treatment
2026-01-20 15:27:50.940999985+00:00,wait,1768922870.941,0.06731345625,pod,watts,Treatment
2026-01-20 15:28:20.940999985+00:00,wait,1768922900.941,0.043442430000000004,pod,watts,Treatment
