timestamp,timestamp,kepler_container_energy_joules,layer,unit,treatment
2026-01-20 08:57:09.885999918+00:00,1768899429.886,0.0,pod,joules,NoTreatment
2026-01-20 08:57:39.885999918+00:00,1768899459.886,213.07625774576272,pod,joules,Treatment
2026-01-20 08:58:09.885999918+00:00,1768899489.886,320.2153423064972,pod,joules,Treatment
2026-01-20 08:58:39.885999918+00:00,1768899519.886,320.6278612828086,pod,joules,Treatment
