timestamp,__name__,baremetal,beta_kubernetes_io_arch,beta_kubernetes_io_os,container,cpu,env,feature_node_kubernetes_io_cpu_cpuid_AESNI,feature_node_kubernetes_io_cpu_cpuid_AVX,feature_node_kubernetes_io_cpu_cpuid_AVXSLOW,feature_node_kubernetes_io_cpu_cpuid_CMPXCHG8,feature_node_kubernetes_io_cpu_cpuid_FXSR,feature_node_kubernetes_io_cpu_cpuid_FXSROPT,feature_node_kubernetes_io_cpu_cpuid_HYPERVISOR,feature_node_kubernetes_io_cpu_cpuid_LAHF,feature_node_kubernetes_io_cpu_cpuid_OSXSAVE,feature_node_kubernetes_io_cpu_cpuid_SYSCALL,feature_node_kubernetes_io_cpu_cpuid_SYSEE,feature_node_kubernetes_io_cpu_cpuid_X87,feature_node_kubernetes_io_cpu_cpuid_XSAVE,feature_node_kubernetes_io_cpu_cpuid_XSAVEOPT,feature_node_kubernetes_io_cpu_hardware_multithreading,feature_node_kubernetes_io_cpu_model_family,feature_node_kubernetes_io_cpu_model_id,feature_node_kubernetes_io_cpu_model_vendor_id,feature_node_kubernetes_io_kernel_config_NO_HZ_FULL,feature_node_kubernetes_io_kernel_version_full,feature_node_kubernetes_io_kernel_version_major,feature_node_kubernetes_io_kernel_version_minor,feature_node_kubernetes_io_kernel_version_revision,feature_node_kubernetes_io_pci_0300_1af4_present,feature_node_kubernetes_io_pci_1af4_present,feature_node_kubernetes_io_system_os_release_ID,feature_node_kubernetes_io_system_os_release_VERSION_ID,feature_node_kubernetes_io_system_os_release_VERSION_ID_major,id,image,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,name,namespace,network,pod,scaphandre,timestamp,system_cpu_usage,layer,unit,treatment
2026-01-20 08:58:09.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,data-quality,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod362fd930_4079_4ed0_8654_824840276e54.slice/cri-containerd-41f6b184d7fb904c0e846d5abcf03f6fad4e25b475739a1087af96f7269d6247.scope,docker.io/sepidmas/reuse_scale-data-quality:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,41f6b184d7fb904c0e846d5abcf03f6fad4e25b475739a1087af96f7269d6247,pipeline,slow,data-quality-6df8969f99-4zgtm,true,1768899489.886,14.73927,pod,cpu_time_seconds,Treatment
2026-01-20 08:58:39.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,data-quality,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod362fd930_4079_4ed0_8654_824840276e54.slice/cri-containerd-41f6b184d7fb904c0e846d5abcf03f6fad4e25b475739a1087af96f7269d6247.scope,docker.io/sepidmas/reuse_scale-data-quality:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,41f6b184d7fb904c0e846d5abcf03f6fad4e25b475739a1087af96f7269d6247,pipeline,slow,data-quality-6df8969f99-4zgtm,true,1768899519.886,14.747738,pod,cpu_time_seconds,Treatment
2026-01-20 08:57:09.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,debug2,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podeed1535d_4ae4_4803_a706_7f714d5f5cd0.slice/cri-containerd-d1aa9652e88666ef7eb0d1b65ad5ced6a04240117899a4d092a73e177f041833.scope,docker.io/nicolaka/netshoot:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,d1aa9652e88666ef7eb0d1b65ad5ced6a04240117899a4d092a73e177f041833,pipeline,slow,debug2,true,1768899429.886,0.079159,pod,cpu_time_seconds,NoTreatment
2026-01-20 08:57:39.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,debug2,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podeed1535d_4ae4_4803_a706_7f714d5f5cd0.slice/cri-containerd-d1aa9652e88666ef7eb0d1b65ad5ced6a04240117899a4d092a73e177f041833.scope,docker.io/nicolaka/netshoot:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,d1aa9652e88666ef7eb0d1b65ad5ced6a04240117899a4d092a73e177f041833,pipeline,slow,debug2,true,1768899459.886,0.079159,pod,cpu_time_seconds,Treatment
2026-01-20 08:58:09.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,debug2,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podeed1535d_4ae4_4803_a706_7f714d5f5cd0.slice/cri-containerd-d1aa9652e88666ef7eb0d1b65ad5ced6a04240117899a4d092a73e177f041833.scope,docker.io/nicolaka/netshoot:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,d1aa9652e88666ef7eb0d1b65ad5ced6a04240117899a4d092a73e177f041833,pipeline,slow,debug2,true,1768899489.886,0.079159,pod,cpu_time_seconds,Treatment
2026-01-20 08:57:09.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,generate-address,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod1758b9c2_6b18_466e_b636_33f6d9f40a1f.slice/cri-containerd-5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910.scope,docker.io/sepidmas/reuse_scale-generate-address:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910,pipeline,slow,generate-address-7f49698cc6-9jk6g,true,1768899429.886,11.213291,pod,cpu_time_seconds,NoTreatment
2026-01-20 08:57:39.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,generate-address,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod1758b9c2_6b18_466e_b636_33f6d9f40a1f.slice/cri-containerd-5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910.scope,docker.io/sepidmas/reuse_scale-generate-address:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910,pipeline,slow,generate-address-7f49698cc6-9jk6g,true,1768899459.886,11.229541,pod,cpu_time_seconds,Treatment
2026-01-20 08:58:09.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,generate-address,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod1758b9c2_6b18_466e_b636_33f6d9f40a1f.slice/cri-containerd-5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910.scope,docker.io/sepidmas/reuse_scale-generate-address:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910,pipeline,slow,generate-address-7f49698cc6-9jk6g,true,1768899489.886,11.243464,pod,cpu_time_seconds,Treatment
2026-01-20 08:58:39.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,generate-address,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod1758b9c2_6b18_466e_b636_33f6d9f40a1f.slice/cri-containerd-5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910.scope,docker.io/sepidmas/reuse_scale-generate-address:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,5e60280e798bd7e0dfd98a1cc841af6471e27ea105d6323374ae01bc9caf1910,pipeline,slow,generate-address-7f49698cc6-9jk6g,true,1768899519.886,11.246404,pod,cpu_time_seconds,Treatment
2026-01-20 08:57:09.885999918+00:00,container_cpu_usage_seconds_total,true,amd64,linux,generate-birthday,total,energy,true,true,,true,true,true,,true,true,true,true,true,true,true,true,6,94,Intel,true,6.14.0-37-generic,6,14,0,,,ubuntu,24.04,24,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod8e75c3eb_3e58_489a_bef2_2b60529b27dc.slice/cri-containerd-dd49b69edf73978e43e77bb3cf77429dc6f9723d00da394d57ca57628842520b.scope,docker.io/sepidmas/reuse_scale-generate-birthday:latest,gisele,kubernetes-nodes-cadvisor,amd64,gisele,linux,dd49b69edf73978e43e77bb3cf77429dc6f9723d00da394d57ca57628842520b,pipeline,slow,generate-birthday-6744559788-hxkl6,true,1768899429.886,11.418865,pod,cpu_time_seconds,NoTreatment
